id,Title,Content,"Attachment URL",Categories,Tags
37,"How to spin up a Subdomain - The Firetoss way!","<ol>
 	<li>Open 1Password and get the credentials for cPanel
<img class=""alignnone wp-image-63 size-full"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/Get-1passCreds-B.png"" alt="""" width=""1008"" height=""543"" /></li>
 	<li>Click on the link for cPanel website. You might be prompted saying your connection is not private . Click on ADVANCED and proceed to the website.
<img class=""alignnone size-full wp-image-90"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/warning2.png"" alt="""" width=""809"" height=""659"" /></li>
 	<li>Enter credentials from 1Password for cPanel login.
<img class=""alignnone size-full wp-image-58"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/cPanel-Login-B.png"" alt="""" width=""952"" height=""886"" /></li>
 	<li>On home screen for cPanel click the Subdomains icon.
<img class=""alignnone size-full wp-image-42"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/4-cPanel-homepage.png"" alt="""" width=""958"" height=""886"" /></li>
 	<li>Create the subdomain for the website. Enter in the subdomain and the document root. Follow the example provided. After creating the subdomain return back to the homepage by clicking on the large cPanel icon on the top left of the window.
<img class=""alignnone size-full wp-image-76"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/Subdomain_example.png"" alt="""" width=""776"" height=""343"" /></li>
 	<li>After creating the subdomain we will create the SQL database and user that will be attached to the website. On the homepage click on the MySQL Databases icon.<img class=""alignnone size-full wp-image-43"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/5-cPanel-homepage.png"" alt="""" width=""958"" height=""886"" /></li>
 	<li>The first item you will see is Create New Database. Simply enter in the name of your Database (name of website) and click the Create Database button. After creating click the Go Back button.<img class=""alignnone size-full wp-image-59"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/Create-Database.png"" alt="""" width=""941"" height=""653"" /></li>
 	<li>Next we will create and add the created user to the database we just created.</li>
 	<li>Scroll down the MySQL Databases page until you see MySQL Users. Enter in your username. In this case you want the username to be the name of the website. If it is too long ask a superior what it should be or use a condensed version of the name of the website. Next we will generate the password. Click on the Password Generator button. Click the I have copied this password in a safe place check box(SAVE THE PASSWORD) and then click Use Password and click Create User. <strong>*NOTE*</strong> this password only needs to be saved until we get to the WordPress config. This password does not need to be saved into 1Password, but keep it saved for the remainder of this exercise.
<img class=""alignnone size-full wp-image-59"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/Create-Database.png"" alt="""" width=""941"" height=""653"" /></li>
 	<li>We will now add the user to the database. Click on the User list and find your newly created user. Click on the Database list and find your newly created database. Click the Add button.
<img class=""alignnone size-full wp-image-55"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/Add-User-Database.png"" alt="""" width=""939"" height=""275"" /></li>
 	<li>You will arrive on the Manage User Privileges page. You should see your User you created and Database you created in the corresponding fields. Next you will click the <strong>ALL PRIVILEGES</strong> checkbox. After, scroll down and click the Make Changes button. You should see a green success box in the top right corner of the screen. Click on the Go Back link.
<img class=""alignnone size-full wp-image-66"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/Priveleges-SQL.png"" alt="""" width=""935"" height=""837"" /></li>
 	<li>We are now going to return to the cPanel home page by clicking on the cPanel icon on the top left of the window. The next step in process is going to be to put the WordPress files into the Sub domain that we created. We need to download these from the WordPress website.</li>
 	<li>Go to wordpress.org. Click on the Download WordPress button. This will bring you to the Download WordPress page.
<img class=""alignnone size-full wp-image-39"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/13-WordPress.png"" alt="""" width=""934"" height=""976"" /></li>
 	<li>On the Download WordPress page on the bottom right side of the page you will see a button for Download WordPress. Click this button. Right now the WordPress version 4.8.2. Download the latest version.  After it has downloaded we will be uploading the file to the subdomain through Cpanel.
<img class=""alignnone size-full wp-image-40"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/14-Download-WordPress.png"" alt="""" width=""936"" height=""851"" /></li>
 	<li>On the cPanel home page click on the File Manager icon.
<img class=""alignnone size-full wp-image-41"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/15-cPanel-homepage.png"" alt="""" width=""958"" height=""886"" /></li>
 	<li>This will lead you to the File Manager page. On the file manager page you will see in the left hand column a list of different files. Click on the public_html file. This will show all of the websites hosted on the server. You can scroll down the file tree in the left hand column or use the window on the right hand side; it will lead you to the same place to find your domain.
<img class=""alignnone size-full wp-image-61"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/FileManager.png"" alt="""" width=""960"" height=""922"" /></li>
 	<li>Click on the sub domain you created. The files that are in the website will be displayed. Right now there should only be one file named cgi-bin and it is empty.
<img class=""alignnone size-full wp-image-67"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/Select-Domain.png"" alt="""" width=""957"" height=""923"" /></li>
 	<li>Next we are going to upload the WordPress files to the website. On top of the page there is a menu bar, find the Upload button and click it.
<img class=""alignnone size-full wp-image-80"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/upload.png"" alt="""" width=""958"" height=""200"" /></li>
 	<li>The Upload button will bring you to a new page called File Upload. There are two options to upload the files. I prefer to simply drag the file over or you can select it manually using the Select File button. Locate the <strong>*zipped*</strong> WordPress file we recently downloaded and upload it to the domain. Click the Go Back button once finished.
<img class=""alignnone size-full wp-image-70"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/WordPress-Upload.png"" alt="""" width=""952"" height=""609"" /></li>
 	<li>Next we are going to extract the WordPress zip file. Right click on the WordPress zip file and click extract.
<img class=""alignnone size-full wp-image-81"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/18-extract-1.png"" alt="""" width=""955"" height=""901"" /></li>
 	<li>A pop up will come up asking where you want the files to be extracted, press the Extract File(s) button. Another window will pop up showing the results, press the Close button.
<img class=""alignnone size-full wp-image-72"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/18-extract-window.png"" alt="""" width=""594"" height=""332"" /></li>
 	<li>Now that we have the WordPress zip file extracted we no longer need it. Go ahead and delete the WordPress zip file by right clicking on it and clicking delete. A window will come up asking if you want to skip the trash and permanently delete the files. Click the checkbox and then click the Confirm button.
<img class=""alignnone size-full wp-image-73"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/19-delete-wordpress-zip.png"" alt="""" width=""611"" height=""286"" /></li>
 	<li>The next step is moving the files inside of the WordPress folder to the root level of the domain. Double click on the WordPress file to access its content. Select all files. This can be achieved a few different ways. You can click the first file, hold down the shift key and click the last file. Another way built into cPanel is the <strong>Select All</strong> button on menu bar inside of the window displaying all of files.
<img class=""alignnone size-full wp-image-82"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/20-select-all-1.png"" alt="""" width=""957"" height=""917"" /></li>
 	<li>Once all files are selected we are going to click on the <strong>Move</strong> icon right next to the Upload icon that we used earlier.
<img class=""alignnone size-full wp-image-83"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/Move.png"" alt="""" width=""956"" height=""192"" /></li>
 	<li>A move window will pop up and ask you what path you want to move this file to.
<img class=""alignnone size-full wp-image-75"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/21-Move-A.png"" alt="""" width=""519"" height=""360"" /></li>
 	<li>We are going to the root level of the domain, all we need to do is delete the <strong>/wordpress</strong> at the end of the extension and press the Move File(s) button.
<img class=""alignnone size-full wp-image-45"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/21-Move-B.png"" alt="""" width=""510"" height=""355"" /></li>
 	<li>The WordPress folder will now be empty. Click the <strong>Back</strong> button on the menu bar until you reach the root level displaying all of the files we just moved including the cgi-bin file.
<img class=""alignnone size-full wp-image-84"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/Back.png"" alt="""" width=""956"" height=""190"" /></li>
 	<li>Permanently delete the WordPress folder we just moved everything out of, it is now empty and will not be used.
<img class=""alignnone size-full wp-image-85"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/21-Move-Final-final.png"" alt="""" width=""958"" height=""918"" /></li>
 	<li>Next we will be adding in our plugin into the website. Go to <a href=""http://seed.devft.com/wp-content/plugins.zip"">http://seed.devft.com/wp-content/plugins.zip</a> to download the file. (Clicking the link will download the file)</li>
 	<li>Next we are going to go into the wp-content folder and delete the plugins folder.
<img class=""alignnone size-full wp-image-87"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/30-1.png"" alt="""" width=""949"" height=""679"" /></li>
 	<li>After deleting the folder we are going to do the same file upload process. This time we will be upload the recently downloaded plugins.zip file.Upload it to the same location that you deleted the original plugin folder.
<img class=""alignnone size-full wp-image-88"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/PLUGIN.png"" alt="""" width=""948"" height=""591"" /></li>
 	<li>Now that the zipped plugin folder is downloaded, extract the content by right clicking on the plugin.zip and pressing the Extract button. Make sure the extracted files are there by refreshing the page and going back into the subdomain you created and navigating to the wp-content folder, go inside it and make sure the new plugin folder is there. We can now delete the plugins.zip folder because we are no longer going to be using it.</li>
 	<li>Next we will be making sure our website is using the correct database and not the default database. Go to the top of the window menu and click on the +File icon.
<img class=""alignnone size-full wp-image-89"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/FILEUPLOAD.png"" alt="""" width=""954"" height=""191"" /></li>
 	<li>A window will pop up asking for the new file name, name the file <strong>wp-config.php</strong>. Click the Create New File button. The new file will now be on your domain.
<img class=""alignnone size-full wp-image-91"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/WPCONFIG.png"" alt="""" width=""956"" height=""914"" /></li>
 	<li>We will now populate the wp-config.php file. On the root level of the files inside of your website, right click on the wp-config-sample.php file and click Edit.<img class=""alignnone size-full wp-image-92"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/WPCONFIG-EDIT.png"" alt="""" width=""924"" height=""919"" /></li>
 	<li>We are going to make a copy of this file. This is where the credentials of the database that we created earlier will come into play. We are going to select all text inside of the file by clicking anywhere on the php file and pressing CTRL-A. After selecting everything we are going to press CTRL-C to copy it. Close the window. Now right click on the wp-config.php file and click Edit. We are now going to paste the content from the wp-config-sample.php file to the wp-config.php file.</li>
 	<li>Next we are going to enter in our database credentials into the wp-config.php file. Starting on line 21 – 29 is the area of text we will change.
<img class=""alignnone size-full wp-image-49"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/24-enter-credentials.png"" alt="""" width=""582"" height=""198"" /></li>
 	<li>On line 23 this where you put the name of the database we created. You will replace database_name_here with devft_nameofdatabase. On line 26 we will replace username_here with the devft_username we created earlier. On line 29 we copy and paste the password we created for our devft user. Press the Save Changes button in the top right corner of the window and then press the Close button.
<img class=""alignnone size-full wp-image-50"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/24-enter-credentials-B.png"" alt="""" width=""581"" height=""153"" /></li>
 	<li>With the database and WordPress files set up we are now ready to go to the website and install the WordPress core files. Type in the name of the website that you created example: wiki.devft.com and it will auto direct you to wiki.devft.com/wp-admin/install.php. The screen will then pop up with a box asking what language you want to use. Choose accordingly. Click Continue.</li>
 	<li>Fill out form accordingly with username being the name of the website. <strong>Use wp@firetoss.com as the Email</strong>. Make sure you save these credentials in 1Password. On the form check the Discourage search engines from indexing the site check box. Then click on the Install WordPress button.
<img class=""alignnone size-full wp-image-52"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/25-wp-install.png"" alt="""" width=""905"" height=""902"" /></li>
 	<li>Success! A success dialog box will pop up saying the website has been created and the now you can log into the website by pressing the Log In button and entering the credentials we just created.
<img class=""alignnone size-full wp-image-51"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/25-success.png"" alt="""" width=""874"" height=""562"" /></li>
 	<li>Now that we are logged into the website the next step we are going to do is activating the plugins. Without activating the plugins we will get the white screen of death. On the left hand menu bar click on Plugins. This will show all the plugins that are currently installed.
<img class=""alignnone size-full wp-image-93"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/PLUGINS.png"" alt="""" width=""158"" height=""1021"" /></li>
 	<li>By clicking on the check box next to the name of the plugin we can activate multiple plugins. We need to activate Advanced Custom Fields PRO, Advanced Custom Fields: Image Select, Bulk Page Creator, Gravity Forms, Rename wp-loging.php, WP Editor, WP-PageNavi. Scroll down to the bottom of the page and there will be a bulk action list icon. Click on it and select Activate and then click the Apply button. This will activate all checked plugins. A permalink Settings page will pop up. Just click the Save Changes button for now and if needed you can always come back and edit these settings.</li>
 	<li>The final step we will be doing is installing the Firetoss WordPress theme seed. Go to <a href=""https://github.com/joshgreenie/ThemeSeed"">https://github.com/joshgreenie/ThemeSeed</a> and click on the green Clone or Download button and then press the Download Zip button.
<img class=""alignnone size-full wp-image-53"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/28-download-theme-seed.png"" alt="""" width=""293"" height=""180"" /></li>
 	<li>Next go the WordPress website that we just created. On the left hand sidebar menu click on Appearance and then click on Themes. Next we are going to click on the Add New button.
<img class=""alignnone size-full wp-image-95"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/THEME.png"" alt="""" width=""752"" height=""789"" /></li>
 	<li>Next we are going to click on the Upload Theme button right next to the Add Themes text.
<img class=""alignnone size-full wp-image-97"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/UPLOADsss.png"" alt="""" width=""636"" height=""856"" /></li>
 	<li>Next we will choose the theme seed file that we just downloaded. The file should be named ThemeSeed-master.zip. Click the Install Now button. Click the Activate link and we are done! Great work.
<img class=""alignnone size-full wp-image-98"" src=""http://wiki.devft.com/wp-content/uploads/2017/10/THEMEsss.png"" alt="""" width=""1877"" height=""480"" /></li>
</ol>
&nbsp;",http://wiki.devft.com/wp-content/uploads/2017/10/wiki.txt,Departments>Web,
96,"The History of Firetoss","<strong>In The Beginning</strong>

<span style=""font-weight: 400;"">In the beginning, there was Tony Passey and Brandon Richards. They had man crushes on each other while in an undergraduate design class at the University of Utah sometime in 2010. They looked at each other often. </span>

<span style=""font-weight: 400;"">One day, they decided to take their relationship to the next level. They spoke to one another and there was much rejoicing. </span>

<span style=""font-weight: 400;"">During an especially intimate conversation, they decided that it would be super rad if there were some type of opportunity available for graphic/web design, video, and coding students in the which they could utilize their budding abilities for the good of local smbs while receiving a modest monetary compensation. </span>

<span style=""font-weight: 400;"">Polevault Media was birthed. </span>

<span style=""font-weight: 400;"">They took their idea to the Technology Commercialization Office (TCO) of the University of Utah who took great interest in the endeavor of these two young and spry individuals. Their interest was so great that they offered a simple contribution of some office space and enough funding to buy a handful of Mac computers and an Apple Airport Express which served as both the company wireless router and file storage. </span>

<span style=""font-weight: 400;"">They interviewed and hired a few select individuals for the opportunity and sold their first contracts. </span>

<span style=""font-weight: 400;"">On a steady diet of cereal and Mt. Dew, they learned, they produced, they loved. </span>

<strong>Enter the E</strong><strong>ra of MBAs</strong>

<span style=""font-weight: 400;"">Tony awoke one morning and realized that he himself would soon be graduating. He soon understood the full weight of this dilemma. Polevault Media was for the student and by the student. “No no. This must not stand!” he declared to himself. </span>

<span style=""font-weight: 400;"">He consulted with his Partner and they decided that Tony should take his leave of absence from the company while Brandon remained as the CTO to help lead and guide the young minds and future leaders of this great nation. </span>

<span style=""font-weight: 400;"">This presented yet another conundrum, who would handle the overall management, sales, and accounting of the company? </span>

<strong>Phase III: The Awakening</strong>

<span style=""font-weight: 400;"">It is now the summer of 2013. What a summer it was. Co-founder and majority owner Tony Passey has begun to think that his hiatus from his own creation may be coming to an end. </span>

<span style=""font-weight: 400;"">During his time away, he has gained a vast amount of knowledge in the fields of Digital Marketing and Lead Generation. He says, “Hey, we are going to do Digital Marketing and maybe Lead Generation at Polevault and we are going to become a real company now and stop with our intern model which doesn’t allow real growth because we have employee turnover of 75% every year because students graduate with a good skillset and go work for another company that pays them more money than we do so what if we called some of those former interns back and hire them to work for our company so that we can retain some of own talent and start growing by delivering better products which will allow us to get better clients who will give us more money because it’s a reciprocal cycle and oh yeah we are now Polevault Agency instead of Polevault Media.”</span>

<span style=""font-weight: 400;"">And that is how Polevault started doing digital marketing and also started down a path of growth that would fuel the fire of desire to eventually land on the list of Utah’s top 100 growing companies. </span>

<strong>Get on outta here with that Polevault Media</strong>

<span style=""font-weight: 400;"">As previously mentioned, Polevault Media became Polevault Agency. The company also moved from our shared office space in the TCO building to our own office space downtown. </span>

<span style=""font-weight: 400;"">We bought new chairs as well as desks from IKEA. </span>

<span style=""font-weight: 400;"">And Jason Tang joined the company. </span>

<strong>Our Own Home</strong>

<span style=""font-weight: 400;"">The company continued to grow and prosper. Firetoss quickly outgrew its accommodations and more than likely our welcome at this particular office location. The company needed a new home that could grow along with Firetoss and stand up to the unique...culture that had developed. </span>",,"Employee Handbook",
101,"Time Off Policy","Employees are allowed to take as much time off as they desire, with the following stipulations:
<ul>
 	<li>All time off must be approved by the employee's direct supervisor.</li>
 	<li>Requests for time off should be submitted at least two weeks in advance. Failure to do so may result in the request not being approved.</li>
 	<li>Approval for time off requests will be determined by:
<ul>
 	<li>Employee's past work performance</li>
 	<li>Status of projects and deadlines the employee is involved in</li>
 	<li>Number of others who have already requested that time period off</li>
 	<li>Additional factors as deemed appropriate by the direct supervisor</li>
</ul>
</li>
</ul>
Time off requests should be submitted via email. If a request is denied, the reasons will be supplied by the employee's direct superior. If a request is approved, the employee's superior will add that time off period to the Firetoss Google Calendar, and invite the employee to that event.",,"Employee Handbook",
102,"Key Holder Agreement","We are placing a lot of trust in you and giving you a key.  We ask three things in return:  Take Ownership, Be Responsible, and Give Ownership.

<strong>Take Ownership:</strong>
<ul>
 	<li>You will not loan out the key.</li>
 	<li>You will not duplicate the key.</li>
 	<li>You will keep the key safe.</li>
 	<li>You will only use the key as a key.</li>
</ul>
<strong> </strong><strong>Be Responsible:</strong><strong> </strong>
<ul>
 	<li>You will immediately report to management if your key is lost or stolen.</li>
 	<li>You will only use the key so that you can work or engage in work-related activities.</li>
 	<li>You will ensure that all office doors are locked if you are the last person to leave.</li>
 	<li>You will not invite unauthorized individuals to enter the office.<strong> </strong></li>
</ul>
<strong>Give Ownership:</strong><strong> </strong>
<ul>
 	<li>You will assume responsibility for the consequences of not complying with the items listed in this agreement.</li>
 	<li>You will return the key upon request.</li>
</ul>",,"Employee Handbook",
104,"The Pillars","Here at Firetoss, we try to make decisions and communicate through what we feel are the pillars of our company:  Our People, Systems, Product, Pipeline, Finance, and Culture.  Each pillar is critical to success.  The pillars work together to elevate each other – a clear example being that an excellent Product will be easier to sell and thus will improve our Pipeline.

As you work, you should be mindful of these pillars and think about how your activity impacts them.  Always think of what new initiatives you can do that will improve our pillars.

<img class=""size-full wp-image-130 aligncenter"" src=""http://wiki.devft.com/wp-content/uploads/2017/11/FT-Pillars-Stick-Figures.jpg"" alt="""" width=""1000"" height=""200"" />",,"Employee Handbook>The Pillars",
105,People,"The most important aspect of Firetoss is its People.  You were chosen to work here because you are smart, trust-worthy, and capable of improving the company.  You are trusted to work hard, and you are expected to elevate every pillar of Firetoss.  Always communicate what is awesome and what sucks about your job.  Tell anyone and everyone your ideas to make this a better place to work.  Take initiative – this is <em>your</em> company.

Also consider that the “People” pillar of the company is more than just you.  Who do you know that would be an amazing addition to Firetoss?  What is an amazing addition to Firetoss that you <em>don’t</em> know, but you could find by developing a killer recruiting System?

Consider the People around you.  Communicate.  Share your knowledge.  Help out.  Consider the people NOT around you.  You have skills and knowledge that somebody in another department lacks.  HELP OUT.  We are all part of the same company, and one person’s success benefits everyone.

<img class=""size-full wp-image-131 aligncenter"" src=""http://wiki.devft.com/wp-content/uploads/2017/11/FT-People-Stick-Figures.jpg"" alt="""" width=""1000"" height=""200"" />",,"Employee Handbook>The Pillars",
106,Systems,"At Firetoss, you will be given a lot of freedom and flexibility to do your work.  Do whatever you need to do in order to produce the best Product.  Go for a walk.  Take a Siesta.  Play Pool.  There is not as much structure at Firetoss as there is at most other companies - you are simply trusted to do excellent work and meet your deadlines.

That said, there are still processes that you should follow (such as tracking your time).  Systems are important for maintaining a level of consistency in our Products, client communication, and growth.  But, mostly, they are there so that we don’t forget important stuff.  Systems, like time tracking, are ways to monitor how we are doing as a company – plus they make Accounting happy.

You should communicate if you feel that a System is holding you back.  Even better, you should find ways to improve that System or even initiate new System that could benefit other people.  Systems should be channels for you to either demonstrate your awesomeness or to influence the people around you.  But please track your time.

Seriously. Track your time.

<img class=""aligncenter size-full wp-image-144"" src=""http://wiki.devft.com/wp-content/uploads/2017/11/FT-Systems-Stick-Figures.jpg"" alt="""" width=""1000"" height=""200"" />",,"Employee Handbook>The Pillars",
107,Product,"If you combine People and Systems you end up with a Product.   It is critical that we deliver an amazing product.  By nature, the websites we build will be seen by a large amount of people, all with our name at the bottom.  If we Market well, we reach tons of people.  We must take special care with everything we do.

Our Product is much more than just what is delivered to the customer - it is our reputation.  Our Product is the experience that a client has when he or she calls us for help with a problem. Our Product is what a person thinks of us after visiting our website or our office.  Firetoss generates the majority of its business from past clients and referrals, so we must execute well in order to grow.

Think about <em>your</em> Product.  Your coworkers are also your customers.  If you deliver an amazing product to the next person in the process, they will be able to create a better Product themselves.  A website will be better developed with an awesome design.  Marketing will be able to get better results with a good Strategy.  Our websites will satisfy the client better if they are sold with the right expectations.

<img class=""aligncenter size-full wp-image-147"" src=""http://wiki.devft.com/wp-content/uploads/2017/11/FT-Product-Stick-Figures.jpg"" alt="""" width=""1000"" height=""200"" />",,"Employee Handbook>The Pillars",
108,Pipeline,"If we deliver amazing Products then more people will want to pay us.  That is our Pipeline – get to know it.  The more money the company brings in, the more fun stuff we can do, the more cool swag we get, and the more we get paid.

The best way to improve our Pipeline is to encourage and support the Sales team.  Our Sales staff should be radiant with confidence.  High five them and tell them good job.  Ask them what’s comin’ down the pipe.  Remind them that you have a dog to feed.  Most of all - support them by doing good work.  It is much easier to sell confidently when you are backed up by a team that can deliver an amazing Product on time.

The Pipeline can influence you.  How will you make sure that you can execute on both your current project and the next project?  Are there new skills you can learn to take on some of the more exciting projects in the Pipeline?  Think even bigger.  What does the future of Firetoss look like, where do you fit in that future, and how are you going to be ready for it?

<img class=""aligncenter size-full wp-image-148"" src=""http://wiki.devft.com/wp-content/uploads/2017/11/FT-Pipeline-Stick-Figures.jpg"" alt="""" width=""1000"" height=""200"" />",,"Employee Handbook>The Pillars",
109,Finance,"Money!  The reason we work.  Firetoss is a payroll-heavy company that rewards great People. But if you want Firetoss to be concerned with your Finance, you need to be concerned with its Finance.  The more money Firetoss makes, the more money you get for Legos.

You are directly responsible for protecting the company’s Finance.  Do not do client work for free.  Make sure there is a contract, and If a client requests that you do work that is not in the contract, refer them to Sales or sell it yourself.  Also, be ready to hear “Stick to the Budget” way too many times.

Always think about how you can help the company improve its Finance.  Do you have any ideas that we could add to our Products and sell them for more?  Are there new Products we can sell?  Do you know another software that does the same thing, but cheaper?  Do you really need that side order of fries with your Friday Lunch?   (Always get the fries)

<img class=""aligncenter size-full wp-image-146"" src=""http://wiki.devft.com/wp-content/uploads/2017/11/FT-Finance-Stick-Figures.jpg"" alt="""" width=""1000"" height=""200"" />",,"Employee Handbook>The Pillars",
